Tokens:
Line  Token        Type        
====  ====         =====       
3     read         READ        
3     x            IDENTIFIER  
3     ;            SEMICOLON   
4     if           IF          
4     0            NUMBER      
4     <            LESSTHAN    
4     x            IDENTIFIER  
4     then         THEN        
6     fact         IDENTIFIER  
6     :=           ASSIGN      
6     1            NUMBER      
6     ;            SEMICOLON   
7     repeat       REPEAT      
8     fact         IDENTIFIER  
8     :=           ASSIGN      
8     fact         IDENTIFIER  
8     *            MULT        
8     x            IDENTIFIER  
8     ;            SEMICOLON   
9     x            IDENTIFIER  
9     :=           ASSIGN      
9     x            IDENTIFIER  
9     -            MINUS       
9     1            NUMBER      
10    until        UNTIL       
10    x            IDENTIFIER  
10    =            EQUAL       
10    0            NUMBER      
10    ;            SEMICOLON   
11    write        WRITE       
11    fact         IDENTIFIER  
13    end          END         
